arquivo_origem;data_extracao;numero_ata;numero_controle_pncp_ata;numero_controle_pncp_compra;id_compra;numero_compra;ano_compra;modalidade_codigo;modalidade_nome;uasg_codigo;uasg_nome;data_assinatura;data_vigencia_inicial;data_vigencia_final;valor_total;quantidade_itens;status_ata;ata_excluida;objeto_ata;link_ata_pncp;link_compra_pncp
atas_manuais.json;2026-04-01 12:16:29;00004/2024;10673078000120-1-000057/2023-000009;10673078000120-1-000057/2023;15813205000282023;00028;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;31/01/2024;01/02/2024;01/02/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00013/2024;10673078000120-1-000028/2024-000001;10673078000120-1-000028/2024;15813205900112024;90011;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;27/06/2024;01/07/2024;01/07/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00014/2024;10673078000120-1-000028/2024-000002;10673078000120-1-000028/2024;15813205900112024;90011;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;27/06/2024;01/07/2024;01/07/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00017/2025;10673078000120-1-000023/2025-000001;10673078000120-1-000023/2025;15813205900902025;90090;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;30/04/2025;02/05/2025;01/05/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00018/2025;10673078000120-1-000023/2025-000002;10673078000120-1-000023/2025;15813205900902025;90090;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;30/04/2025;02/05/2025;01/05/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00019/2025;10673078000120-1-000023/2025-000003;10673078000120-1-000023/2025;15813205900902025;90090;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;30/04/2025;02/05/2025;01/05/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00020/2025;10673078000120-1-000023/2025-000004;10673078000120-1-000023/2025;15813205900902025;90090;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;30/04/2025;02/05/2025;01/05/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00021/2025;10673078000120-1-000023/2025-000005;10673078000120-1-000023/2025;15813205900902025;90090;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;30/04/2025;02/05/2025;01/05/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00022/2025;10673078000120-1-000023/2025-000006;10673078000120-1-000023/2025;15813205900902025;90090;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;30/04/2025;02/05/2025;01/05/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00023/2025;10673078000120-1-000023/2025-000007;10673078000120-1-000023/2025;15813205900902025;90090;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;30/04/2025;02/05/2025;01/05/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
