arquivo_origem;data_extracao;numero_ata;numero_item;codigo_unidade;nome_unidade;tipo_participacao;quantidade_registrada;quantidade_empenhada;saldo_empenho;data_inclusao;data_atualizacao
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;153164;UNIVERSIDADE FEDERAL DE SANTA MARIA;NÃO PARTICIPANTE;190,00;0,50;189,50;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;154628;INST.FEDERAL FARROUPILHA CAMPUS JAGUARI;PARTICIPANTE;34,00;0,00;34,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;154773;INST.FED.SUL-RIO-GRANDENSE/SANT.DO LIVRAMENTO;PARTICIPANTE;80,00;5,00;75,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;155570;CAMPUS FREDERICO WESTPHALEN;PARTICIPANTE;30,00;0,00;30,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158122;INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS;PARTICIPANTE;1040,00;1,00;1039,00;;27/05/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158123;INSTITUTO FED CIENCIA TECNOL SUDESTE MG;NÃO PARTICIPANTE;750,00;124,00;626,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158125;INSTITUTO FEDERAL CATARINENSE - REITORIA;PARTICIPANTE;720,00;100,00;620,00;;27/05/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158127;INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA;PARTICIPANTE;360,00;1,00;359,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;GERENCIADORA;790,00;9,00;781,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158135;INST.FED.DE EDUC.,CIENC.E TEC.DO PARA;PARTICIPANTE;2020,00;1,00;2019,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158139;INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE;PARTICIPANTE;294,00;294,00;0,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158141;INST.FED.DE EDUC.,CIENC.E TEC.DO RS;PARTICIPANTE;240,00;134,00;106,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158144;INST.FED.DE EDUC.,CIENC.E TEC.DO MATO GROSSO;NÃO PARTICIPANTE;498,00;498,00;0,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158146;INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI;PARTICIPANTE;620,00;0,00;620,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158153;INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS;PARTICIPANTE;400,00;1,00;399,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158266;INST.FED.FARROUPILHA/CAMPUS SANTO AUGUSTO;PARTICIPANTE;30,00;0,00;30,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158267;INST.FED.FARROUPILHA/CAMPUS DE ALEGRETE;PARTICIPANTE;40,00;0,00;40,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158268;INST.FED.FARROUPILHA/CAMPUS SAO VICENTE SUL;PARTICIPANTE;50,00;50,00;0,00;;20/11/2025
atas_saldos_RT_00001_2023_p1.json;2026-03-20 12:03:47;00001/2023;00001;158269;INST.FED.FARROUPILHA/CAMPUS JULIO CASTILHOS;PARTICIPANTE;32,00;0,00;32,00;;20/11/2025
