modulo;arquivo_origem;data_extracao;id_compra;numero_processo;numero_compra;numero_controle_pncp;uasg_codigo;uasg_nome;uasg_sigla;modalidade_codigo;modalidade_nome;lei_14133;amparo_legal;modo_disputa;situacao;objeto;responsavel_declaracao;cargo_declaracao;responsavel_ratificacao;cargo_ratificacao;valor_estimado;valor_homologado;data_publicacao;data_abertura_proposta;data_encerramento_proposta;data_alteracao
LEGADO;dispensa_AQ_2016_p1.json;2026-03-11 11:46:35;15844806000022016;23347.001002.2016-76;00002/2016;;158448;IFMS CAMPUS AQUIDAUANA;AQ;6;Dispensa;Não;Art. 24º, Inciso II da Lei nº 8.666 de 21/06/1993.;;;A importância é inferior ao limite estabelecido pelo artigo 24, II da Lei 8666/93, sendo dispensa a licitação.;SHERON LYS BARBOSA GREFFE RODRIGUES;Coordenação de Materiais;;;387,20;;;;;08/04/2024
LEGADO;dispensa_AQ_2016_p1.json;2026-03-11 11:46:35;15844806000012016;23347.000404.2016-53;00001/2016;;158448;IFMS CAMPUS AQUIDAUANA;AQ;6;Dispensa;Não;Art. 24º, Inciso II da Lei nº 8.666 de 21/06/1993.;;;A importância é inferior ao limite estabelecido pelo artigo 24, inciso II, da Lei 8666/93, enquadrando-se como dispensa.;SHERON LYS BARBOSA GREFFE RODRIGUES;Coordenação de Materiais;;;3480,00;;;;;08/04/2024
LEGADO;dispensa_AQ_2016_p1.json;2026-03-11 11:46:35;15844806000032016;23347.003163.2016-02;00003/2016;;158448;IFMS CAMPUS AQUIDAUANA;AQ;6;Dispensa;Não;Art. 24º, Inciso IV da Lei nº 8.666 de 21/06/1993.;;;Justifica-se pela situação de urgência, tendo em vista o risco de algum dano ao patrimônio decorrente do destelhamento.;SHERON LYS BARBOSA GREFFE RODRIGUES;Coordenação de Materiais;;;3282,20;;;;;08/04/2024
LEGADO;dispensa_AQ_2016_p1.json;2026-03-11 11:46:35;15844807000022016;23347.001973.2016-16;00002/2016;;158448;IFMS CAMPUS AQUIDAUANA;AQ;7;Inexigibilidade;Não;Art. 25º, Inciso I da Lei nº 8.666 de 21/06/1993.;;;Tendo em vista tratar-se de gênero fornecido exclusivamente por uma empresa, a despesa poderá ser inexigível de licitação;SHERON LYS BARBOSA GREFFE RODRIGUES;Coordenação de Materiais;;;8000,00;;;;;08/04/2024
LEGADO;dispensa_AQ_2016_p1.json;2026-03-11 11:46:35;15844807000032016;23347.004429.2016;00003/2016;;158448;IFMS CAMPUS AQUIDAUANA;AQ;7;Inexigibilidade;Não;Art. 25º, Inciso I da Lei nº 8.666 de 21/06/1993.;;;Valor de pequeno vulto. Trata-se de empresa pública criada pelo poder executivo federal especificamente para o objeto.;ALESSANDRA DE MELO LIMA MARQUES;Diretora de Administração;;;5000,00;;;;;08/04/2024
LEGADO;dispensa_AQ_2016_p1.json;2026-03-11 11:46:35;15844806000042016;23347.006177.2016-70;00004/2016;;158448;IFMS CAMPUS AQUIDAUANA;AQ;6;Dispensa;Não;Art. 24º, Inciso I da Lei nº 8.666 de 21/06/1993.;;;Ocorrência de fatos imprevisíveis cuja reparação deve ser imediata, consoante com o disposto no art. 24, I, da Lei 8666/93;DIONNY ANTONIO HEREDIA;Coordenador de Materiais;;;14890,00;;;;;08/04/2024
LEGADO;dispensa_AQ_2016_p1.json;2026-03-11 11:46:35;15844807000052016;23347.012476.2016-43;00005/2016;;158448;IFMS CAMPUS AQUIDAUANA;AQ;7;Inexigibilidade;Não;Art. 25º, Caput da Lei nº 8.666 de 21/06/1993.;;;A contratação direta se torna obrigatória, haja vista a impossibilidade da realização de competição.;DIONNY ANTONIO HEREDIA;Coordenador de Materiais;;;325,17;;;;;08/04/2024
LEGADO;dispensa_AQ_2016_p1.json;2026-03-11 11:46:35;15844806000052016;23347.014460.2016-75;00005/2016;;158448;IFMS CAMPUS AQUIDAUANA;AQ;6;Dispensa;Não;Art. 24º, Inciso II da Lei nº 8.666 de 21/06/1993.;;;Visando atender a necessidade de uso de Gás Liquefeito de Petróleo (GLP) na copa dos servidores.;DIONNY ANTONIO HEREDIA;Coordenador de Materiais;;;748,00;;;;;08/04/2024
LEGADO;dispensa_AQ_2016_p1.json;2026-03-11 11:46:35;15844806000062016;23347.021488.2016-69;00006/2016;;158448;IFMS CAMPUS AQUIDAUANA;AQ;6;Dispensa;Não;Art. 24º, Inciso IV da Lei nº 8.666 de 21/06/1993.;;;Rescisão Unilateral Contrato nº 09/2015, 23347024858201610 e não finalização do pregão 02/2016, 23347010739201680.;ALESSANDRA DE MELO LIMA MARQUES;Diretora de Administração;HILDA RIBEIRO ROMERO;Diretora Geral;50100,00;;;;;08/04/2024
LEGADO;dispensa_AQ_2017_p1.json;2026-03-11 11:46:36;15844807000012017;23347.012724.2017-37;00001/2017;;158448;IFMS CAMPUS AQUIDAUANA;AQ;7;Inexigibilidade;Não;Art. 25º, Caput da Lei nº 8.666 de 21/06/1993.;;;Licenciamento (Seguro Obrigatório 2017) dos veículos oficiais do IFMS - Campus Aquidauana.;HILDA RIBEIRO ROMERO;Ordenadora de Despesas;;;209,46;;;;;08/04/2024
