modulo;arquivo_origem;data_extracao;id_compra;id_compra_item;numero_item;tipo_material_servico;codigo_item_catalogo;descricao_simples;descricao_detalhada;quantidade;unidade_medida;valor_estimado_item;valor_homologado_item;valor_unitario_resultado;valor_total_resultado;menor_lance;valor_negociado;situacao_item;tem_resultado;fornecedor_vencedor_cnpj;fornecedor_vencedor_nome;beneficio;criterio_julgamento;decreto7174;sustentavel;data_encerramento;data_adjudicacao;data_homologacao;data_resultado;data_inclusao_pncp;data_atualizacao_pncp;data_alteracao
LEGADO;itens_15584801000012020_E2_p1.json;2026-03-24 07:51:06;15584801000012020;1558480100001202000001;00001;Serviço;;OBRAS CIVIS PUBLICAS ( CONSTRUCAO );Barracão Reciclagem IFMS Dourados. Área: 504,60 m²;1;Unidade;0,00;;;;;;Pendente/outro;;;;Nao possui tratamento diferenciado para ME/EPP/COOPERATIVA;;Não;;;;;;;;08/04/2024
LEGADO;itens_15584802000012020_E2_p1.json;2026-03-24 07:51:06;15584802000012020;1558480200001202000001;00001;Serviço;;OBRAS CIVIS PUBLICAS ( CONSTRUCAO );Obras civis públicas ( construção );1;Unidade;;;;;;;Pendente/outro;;;;Nao possui tratamento diferenciado para ME/EPP/COOPERATIVA;;Não;;;;;;;;08/04/2024
LEGADO;itens_15584805000012017_E4_p1.json;2026-03-24 07:51:09;15584805000012017;1558480500001201700005;00005;Material;;VASO, MATERIAL CIMENTO DIÂMETRO EXTERNO 40 CM ALTURA 60 CM TIPO COM FURO CARACTERÍSTICAS ADICIONAIS SEM PRATO;VASO DE PLANTA, MATERIAL CIMENTO, DIÂMETRO EXTERNO 40 CM, ALTURA 60 CM, TIPO COM FURO, CARACTERÍSTICAS ADICIONAIS SEM PRATO;35;Unidade;3464,65;98,99;;;98,99;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;27/03/2017;27/03/2017;28/03/2017;;;;08/04/2024
LEGADO;itens_15584805000012017_E4_p1.json;2026-03-24 07:51:09;15584805000012017;1558480500001201700004;00004;Material;;VASO, MATERIAL CIMENTO DIÂMETRO EXTERNO 40 CM ALTURA 60 CM TIPO COM FURO CARACTERÍSTICAS ADICIONAIS SEM PRATO;VASO DE PLANTA, MATERIAL CIMENTO, DIÂMETRO EXTERNO 40 CM, ALTURA 60 CM, TIPO COM FURO, CARACTERÍSTICAS ADICIONAIS SEM PRATO;45;Unidade;0,00;128,90;;;128,90;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;27/03/2017;27/03/2017;28/03/2017;;;;08/04/2024
LEGADO;itens_15584805000012017_E4_p1.json;2026-03-24 07:51:09;15584805000012017;1558480500001201700003;00003;Material;;VASO, MATERIAL CIMENTO DIÂMETRO EXTERNO 40 CM ALTURA 60 CM TIPO COM FURO CARACTERÍSTICAS ADICIONAIS SEM PRATO;VASO DE PLANTA, MATERIAL CIMENTO, DIÂMETRO EXTERNO 40 CM, ALTURA 60 CM, TIPO COM FURO, CARACTERÍSTICAS ADICIONAIS SEM PRATO;22;Unidade;0,00;178,90;;;178,90;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;27/03/2017;27/03/2017;28/03/2017;;;;08/04/2024
LEGADO;itens_15584805000012017_E4_p1.json;2026-03-24 07:51:09;15584805000012017;1558480500001201700002;00002;Material;;MOBILIARIO CONCRETO, MOBILIARIO CONCRETO NOME;MOBILIARIO CONCRETO, NOME MOBILIARIO CONCRETO;41;Unidade;0,00;484,50;;;484,50;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;27/03/2017;27/03/2017;28/03/2017;;;;08/04/2024
LEGADO;itens_15584805000012017_E4_p1.json;2026-03-24 07:51:09;15584805000012017;1558480500001201700001;00001;Material;;BANCO, MATERIAL MADEIRA COMPRIMENTO 2 M LARGURA 40 CM ALTURA 55 CM ACABAMENTO NATURAL;BANCO, MATERIAL MADEIRA, COMPRIMENTO 2 M, LARGURA 40 CM, ALTURA 55 CM, ACABAMENTO NATURAL;60;Unidade;0,00;167,00;;;167,00;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;27/03/2017;27/03/2017;28/03/2017;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800036;00036;Material;;PORTÃO, PORTAO DE MATERIAL METALICO NOME;PORTÃO, NOME PORTAO DE MATERIAL METALICO;1;Unidade;0,00;;;;4000,00;;Cancelado no julgamento;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800035;00035;Material;;MANGUEIRA, MATERIAL SILICONE DIÂMETRO EXTERNO 5/16 POL ESPESSURA PAREDE 1,30 MM;MANGUEIRA, MATERIAL SILICONE, DIÂMETRO EXTERNO 5/16 POL, ESPESSURA PAREDE 1,30MM;15;Metro;0,00;;;;;;Cancelado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800034;00034;Material;;CHAPA ACRÍLICA, COMPRIMENTO 300 CM LARGURA 100 CM ESPESSURA 5 MM COR INCOLOR;CHAPA ACRÍLICA, COMPRIMENTO 300 CM, LARGURA 100 CM, ESPESSURA 5 MM, COR INCOLOR;14;Unidade;0,00;;;;;;Cancelado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800033;00033;Material;;REVESTIMENTO TEXTURA, REVESTIMENTO TEXTURA NOME;REVESTIMENTO TEXTURA, NOME REVESTIMENTO TEXTURA;3;Lata 00000018,00 L;0,00;71,33;;;71,33;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800032;00032;Material;;TINTA PINTURA PREDIAL, COMPOSIÇÃO BÁSICA ÁGUA, PIGMENTOS ATIVOS E INERTES, COALECENTES, MI- ASPECTO FÍSICO LÍQUIDO VISCOSO TIPO ACABAMENTO FOSCO AVELUDADO COR BRANCO NEVE SUPERFÍCIE APLICAÇÃO LISA, REBOCO, GESSO, CONCRETO E MADEIRA APLICAÇÃO INTERNA E EXTERNA RENDIMENTO DE 30 A 40 M2/ GL TIPO LÁTEX;TINTA PINTURA PREDIAL, COMPOSIÇÃO BÁSICA ÁGUA, PIGMENTOS ATIVOS E INERTES, COALECENTES, MI-, ASPECTO FÍSICO LÍQUIDO VISCOSO, TIPO ACABAMENTO FOSCO AVELUDADO, COR BRANCO NEVE, SUPERFÍCIE APLICAÇÃO LISA, REBOCO, GESSO, CONCRETOE MADEIRA, APLICAÇÃO INTERNA E EXTERNA, RENDIMENTO DE 30 A 40 M2/ GL, TIPO LÁTEX;2;Lata;0,00;134,80;;;134,80;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800031;00031;Material;;SOLVENTE, ASPECTO FÍSICO LÍQUIDO APLICAÇÃO DILUIÇÃO TINTA;SOLVENTE, ASPECTO FÍSICO LÍQUIDO, APLICAÇÃO DILUIÇÃO TINTA;1;Lata;0,00;46,80;;;46,80;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800030;00030;Material;;SELADOR, SELADOR DE TINTA DE PINTURA PREDIAL NOME;SELADOR TINTA PREDIAL, NOME SELADOR DE TINTA DE PINTURA PREDIAL;2;Balde 16 L;0,00;55,00;;;55,00;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800029;00029;Material;;PORTA, PORTA NOME;PORTA, NOME PORTA;2;Unidade;0,00;267,00;;;267,00;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800028;00028;Material;;VERGALHÃO, VERGALHAO DE FERRO E ACO PARA FIO NOME;VERGALHÃO, NOME VERGALHAO DE FERRO E ACO PARA FIO;5;Barra;0,00;7,87;;;7,87;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
LEGADO;itens_15584805000012018_E4_p1.json;2026-03-24 07:51:10;15584805000012018;1558480500001201800027;00027;Material;;TUBO PVC SOLDÁVEL, TUBO DE PVC RIGIDO NOME;TUBO PVC SOLDÁVEL, NOME TUBO DE PVC RIGIDO;2;Barra;0,00;29,85;;;29,85;;Homologado;;;;Beneficio Tipo I - Participacao Exclusiva de ME/EPP/COOPERATIVA;;Não;Não;05/04/2018;05/04/2018;11/04/2018;;;;08/04/2024
