arquivo_origem;data_extracao;id_contrato;id_compra;numero;processo;origem_sigla;origem_uasg;tipo;modalidade;codigo_modalidade;licitacao_numero;unidade_compra;fornecedor_cnpj;fornecedor_nome;valor_global;valor_parcela;vigencia_inicio;vigencia_fim;prorrogavel;link_responsaveis
contratos_AQ.json;2026-03-17 18:12:34;126729;15844806000572021;00001/2021;23347.009330/2021-88;AQ;158448;Contrato;Dispensa;06;00057/2021;158448;;L.V.V.M. TREMURA;61.233,20;61.233,20;14/12/2021;14/03/2022;Não;https://contratos.comprasnet.gov.br/api/contrato/126729/responsaveis
contratos_AQ.json;2026-03-17 18:12:34;152269;15813206000302022;00001/2022;23347.007160/2022-88;AQ;158448;Contrato;Dispensa;06;00030/2022;158132;;PLUS SERVICE LTDA;599.611,00;49.967,58;07/07/2022;07/07/2023;Não;https://contratos.comprasnet.gov.br/api/contrato/152269/responsaveis
contratos_AQ.json;2026-03-17 18:12:34;253880;15813205000082023;00001/2024;23347.006511/2023-14;AQ;158448;Contrato;Pregão;05;00008/2023;158132;;SANCRISTO - COLETA DE RESIDUOS LTDA;3.155,74;3.155,74;01/03/2024;01/03/2027;Sim;https://contratos.comprasnet.gov.br/api/contrato/253880/responsaveis
contratos_AQ.json;2026-03-17 18:12:34;43651;15845205000012019;00002/2019;23347.008366/2019-20;AQ;158448;Contrato;Pregão;05;00001/2019;158452;;SECURITY SEGURANCA LTDA;221.244,60;18.437,05;18/05/2019;18/05/2022;;https://contratos.comprasnet.gov.br/api/contrato/43651/responsaveis
contratos_AQ.json;2026-03-17 18:12:34;58629;15844806000032020;00002/2020;23347.001105/2020-12;AQ;158448;Contrato;Dispensa;06;00003/2020;158448;;CLAUDINEI ALMEIDA DE ANDRADE;6.950,00;6.950,00;01/07/2020;01/07/2021;;https://contratos.comprasnet.gov.br/api/contrato/58629/responsaveis
contratos_AQ.json;2026-03-17 18:12:34;127408;15844806000692021;00002/2021;23347.007714/2021-66;AQ;158448;Contrato;Dispensa;06;00069/2021;158448;;ASSOCIACAO DE MULHERES AGRICULTORAS DO ASSENTAMENTO MONJOLINHO - AMAM;307,68;3.076,80;15/12/2021;31/01/2022;Sim;https://contratos.comprasnet.gov.br/api/contrato/127408/responsaveis
contratos_AQ.json;2026-03-17 18:12:34;156980;15844806000352022;00002/2022;23347.001325/2022-16;AQ;158448;Contrato;Dispensa;06;00035/2022;158448;;MERCADO SAO RAFAEL LTDA;10.880,95;2.720,24;10/08/2022;31/12/2022;Não;https://contratos.comprasnet.gov.br/api/contrato/156980/responsaveis
contratos_AQ.json;2026-03-17 18:12:34;253616;15813206000582023;00002/2024;23347.009876/2023-09;AQ;158448;Contrato;Dispensa;06;00058/2023;158132;;COOPERATIVA DOS PRODUTORES RURAIS DA REGIAO DO PULADOR DE ANASTACIO MS-COPRAN;229.594,90;229.594,90;28/02/2024;28/02/2027;Sim;https://contratos.comprasnet.gov.br/api/contrato/253616/responsaveis
contratos_AQ.json;2026-03-17 18:12:34;14606;15844807000032016;00003/2016;23347.001214/2015-72;AQ;158448;Contrato;Inexigibilidade;07;00003/2016;158448;;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;5.000,00;0,00;11/04/2016;11/04/2021;;https://contratos.comprasnet.gov.br/api/contrato/14606/responsaveis
contratos_AQ.json;2026-03-17 18:12:34;29922;15584805000022018;00003/2019;23347.013048/2019-81;AQ;158448;Contrato;Pregão;05;00002/2018;155848;;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;77.385,00;77.385,00;18/08/2019;18/08/2024;;https://contratos.comprasnet.gov.br/api/contrato/29922/responsaveis
