codigo_documento;sequencial;descricao;codigo_subelemento;descricao_subelemento;valor_atual;arquivo_origem;data_extracao
155848264152021NE000001;1;Fornecimento de energia elétrica;43;SERVICOS DE ENERGIA ELETRICA;32.752,98;itens_DR_155848264152021NE000001.json;2026-03-24 15:23:45
155848264152021NE000003;1;SERVIÇO DE LINK VIA CABO;14;TELEFONIA FIXA E MOVEL - PACOTE DE COMUNICACAO DE DADOS;10.971,67;itens_DR_155848264152021NE000003.json;2026-03-24 15:29:44
155848264152021NE000004;1;Serviço de Manutenção preventiva com troca de peças previstas no anexo do orça mento modelo split 24000 btus;17;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;1.080,00;itens_DR_155848264152021NE000004.json;2026-03-24 15:28:05
155848264152021NE000004;2;Serviço de Manutenção corretiva com troca de peças  - modelo split 24000 btus;17;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;1.920,00;itens_DR_155848264152021NE000004.json;2026-03-24 15:28:05
155848264152021NE000006;3;O presente edital tem por objetivo fomentar a pesquisa científica e o desenvolvimento tecnológico do IFMS, por meio da seleção de projetos de pesquisa e indicação de estudantes a serem vinculados ao programa institucional de iniciação científica e tecnológica do IFMS (PITEC), em suas diversas categorias. Edital nº 019/2020-PROPI/IFMS. Parcela (08/12). Competência: Abril/2021. Área: Ciências Humanas. Campus Dourados. Título do Projeto: Representações do feminino na ciência em Rick and Morty. Coordenador: Prof. Geovano Moreira Chaves. Estudante: Vitória Karling Natalício. Modalidade/cota da bolsa: PIBIC-EM/IFMS.;01;BOLSAS DE ESTUDO NO PAIS;100,00;itens_DR_155848264152021NE000006.json;2026-03-24 15:18:02
155848264152021NE000006;4;O presente edital tem por objetivo fomentar a pesquisa científica e o desenvolvimento tecnológico do IFMS, por meio da seleção de projetos de pesquisa e indicação de estudantes a serem vinculados ao programa institucional de iniciação científica e tecnológica do IFMS (PITEC), em suas diversas categorias. Edital nº 019/2020-PROPI/IFMS. Parcela (09/12). Competência: Maio/2021. Área: Ciências Humanas. Campus Dourados. Título do Projeto: Representações do feminino na ciência em Rick and Morty. Coordenador: Prof. Geovano Moreira Chaves. Estudante: Vitória Karling Natalício. Modalidade/cota da bolsa: PIBIC-EM/IFMS.;01;BOLSAS DE ESTUDO NO PAIS;100,00;itens_DR_155848264152021NE000006.json;2026-03-24 15:18:02
155848264152021NE000006;2;O presente edital tem por objetivo fomentar a pesquisa científica e o desenvolvimento tecnológico do IFMS, por meio da seleção de projetos de pesquisa e indicação de estudantes a serem vinculados ao programa institucional de iniciação científica e tecnológica do IFMS (PITEC), em suas diversas categorias. Edital nº 019/2020-PROPI/IFMS. Parcela (07/12). Competência: Março/2021. Área: Ciências Humanas. Campus Dourados. Título do Projeto: Representações do feminino na ciência em Rick and Morty. Coordenador: Prof. Geovano Moreira Chaves. Estudante: Vitória Karling Natalício. Modalidade/cota da bolsa: PIBIC-EM/IFMS.;01;BOLSAS DE ESTUDO NO PAIS;100,00;itens_DR_155848264152021NE000006.json;2026-03-24 15:18:02
155848264152021NE000006;1;O presente edital tem por objetivo fomentar a pesquisa científica e o desenvolvimento tecnológico do IFMS, por meio da seleção de projetos de pesquisa e indicação de estudantes a serem vinculados ao programa institucional de iniciação científica e tecnológica do IFMS (PITEC), em suas diversas categorias.Edital nº 019/2020-PROPI/IFMS. Parcela (05/12). Competência: janeiro/2021¿.Área: Ciências Humanas. Campus Dourados.Título do Projeto: Representações do feminino na ciência em Rick and Morty.Coordenador: Prof. Geovano Moreira Chaves.Estudante: Vitória Karling Natalício.Modalidade/cota da bolsa: PIBIC-EM/IFMS.;01;BOLSAS DE ESTUDO NO PAIS;100,00;itens_DR_155848264152021NE000006.json;2026-03-24 15:18:02
155848264152021NE000010;2;PRESTAÇÃO DE SERVIÇO DE JARDINAGEM - OUTROS SERVIÇOS - OUTRAPRODUTIVIDADE;01;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;50.573,80;itens_DR_155848264152021NE000010.json;2026-03-24 15:27:44
155848264152021NE000010;3;MANUTENÇÃO / REFORMA PREDIAL;04;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;57.741,22;itens_DR_155848264152021NE000010.json;2026-03-24 15:27:44
