09:12:02 | INFO     | ============================================================
09:12:02 | INFO     | 👥 EXTRAINDO RESPONSÁVEIS DOS CONTRATOS...
09:12:02 | INFO     | Contratos na fila : 1602
09:12:02 | INFO     | Validade cache    : 1 dia(s)
09:12:02 | INFO     | 🚀 INICIANDO EXTRAÇÃO DE RESPONSÁVEIS | WORKERS: 15 | TOTAL: 1602
09:12:03 | INFO     | [09:12:03] ✅ DONE | 156980 | 0 responsáveis | 1/1602 (0.1%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 127116 | 0 responsáveis | 2/1602 (0.1%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 71643 | 0 responsáveis | 3/1602 (0.2%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 127108 | 0 responsáveis | 4/1602 (0.2%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 89903 | 3 responsáveis | 5/1602 (0.3%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 126729 | 0 responsáveis | 6/1602 (0.4%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 152269 | 0 responsáveis | 7/1602 (0.4%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 14606 | 0 responsáveis | 8/1602 (0.5%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 77092 | 0 responsáveis | 9/1602 (0.6%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 127408 | 0 responsáveis | 10/1602 (0.6%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 20509 | 0 responsáveis | 11/1602 (0.7%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 127095 | 0 responsáveis | 12/1602 (0.7%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 43651 | 0 responsáveis | 13/1602 (0.8%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 29922 | 0 responsáveis | 14/1602 (0.9%) | Falhas: 0
09:12:03 | INFO     | [09:12:03] ✅ DONE | 58629 | 0 responsáveis | 15/1602 (0.9%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 253880 | 0 responsáveis | 16/1602 (1.0%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 313459 | 0 responsáveis | 17/1602 (1.1%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 289070 | 4 responsáveis | 18/1602 (1.1%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 164836 | 0 responsáveis | 19/1602 (1.2%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 191044 | 4 responsáveis | 20/1602 (1.2%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 156982 | 0 responsáveis | 21/1602 (1.3%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 206596 | 2 responsáveis | 22/1602 (1.4%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 311869 | 0 responsáveis | 23/1602 (1.4%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 253616 | 4 responsáveis | 24/1602 (1.5%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 323053 | 3 responsáveis | 25/1602 (1.6%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 290337 | 4 responsáveis | 26/1602 (1.6%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 169790 | 0 responsáveis | 27/1602 (1.7%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 258517 | 2 responsáveis | 28/1602 (1.7%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 291371 | 4 responsáveis | 29/1602 (1.8%) | Falhas: 0
09:12:04 | INFO     | [09:12:04] ✅ DONE | 253917 | 4 responsáveis | 30/1602 (1.9%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 431495 | 0 responsáveis | 31/1602 (1.9%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 445036 | 0 responsáveis | 32/1602 (2.0%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 454046 | 0 responsáveis | 33/1602 (2.1%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 417621 | 0 responsáveis | 34/1602 (2.1%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 421834 | 0 responsáveis | 35/1602 (2.2%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 466311 | 0 responsáveis | 36/1602 (2.2%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 419213 | 4 responsáveis | 37/1602 (2.3%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 442481 | 0 responsáveis | 38/1602 (2.4%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 327666 | 4 responsáveis | 39/1602 (2.4%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 329160 | 4 responsáveis | 40/1602 (2.5%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 453929 | 0 responsáveis | 41/1602 (2.6%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 508197 | 0 responsáveis | 42/1602 (2.6%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 454044 | 0 responsáveis | 43/1602 (2.7%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 454253 | 0 responsáveis | 44/1602 (2.7%) | Falhas: 0
09:12:05 | INFO     | [09:12:05] ✅ DONE | 464554 | 0 responsáveis | 45/1602 (2.8%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 520135 | 0 responsáveis | 46/1602 (2.9%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 520280 | 0 responsáveis | 47/1602 (2.9%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 537343 | 0 responsáveis | 48/1602 (3.0%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 541845 | 3 responsáveis | 49/1602 (3.1%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 588057 | 0 responsáveis | 50/1602 (3.1%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 747906 | 0 responsáveis | 51/1602 (3.2%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 510167 | 0 responsáveis | 52/1602 (3.2%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 649772 | 5 responsáveis | 53/1602 (3.3%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 580560 | 0 responsáveis | 54/1602 (3.4%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 567900 | 0 responsáveis | 55/1602 (3.4%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 628974 | 1 responsáveis | 56/1602 (3.5%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 761292 | 0 responsáveis | 57/1602 (3.6%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 509688 | 5 responsáveis | 58/1602 (3.6%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 706194 | 1 responsáveis | 59/1602 (3.7%) | Falhas: 0
09:12:06 | INFO     | [09:12:06] ✅ DONE | 526360 | 0 responsáveis | 60/1602 (3.7%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 769728 | 0 responsáveis | 61/1602 (3.8%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 21256 | 0 responsáveis | 62/1602 (3.9%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 42806 | 0 responsáveis | 63/1602 (3.9%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 21146 | 0 responsáveis | 64/1602 (4.0%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 91170 | 0 responsáveis | 65/1602 (4.1%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 42742 | 0 responsáveis | 66/1602 (4.1%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 160015 | 0 responsáveis | 67/1602 (4.2%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 10344 | 0 responsáveis | 68/1602 (4.2%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 29920 | 0 responsáveis | 69/1602 (4.3%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 133253 | 0 responsáveis | 70/1602 (4.4%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 91810 | 0 responsáveis | 71/1602 (4.4%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 140347 | 3 responsáveis | 72/1602 (4.5%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 43650 | 0 responsáveis | 73/1602 (4.6%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 148652 | 0 responsáveis | 74/1602 (4.6%) | Falhas: 0
09:12:07 | INFO     | [09:12:07] ✅ DONE | 134936 | 4 responsáveis | 75/1602 (4.7%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 164479 | 0 responsáveis | 76/1602 (4.7%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 164493 | 0 responsáveis | 77/1602 (4.8%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 164510 | 0 responsáveis | 78/1602 (4.9%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 164506 | 0 responsáveis | 79/1602 (4.9%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 164491 | 0 responsáveis | 80/1602 (5.0%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 179106 | 0 responsáveis | 81/1602 (5.1%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 164503 | 0 responsáveis | 82/1602 (5.1%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 164482 | 0 responsáveis | 83/1602 (5.2%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 223018 | 4 responsáveis | 84/1602 (5.2%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 259923 | 6 responsáveis | 85/1602 (5.3%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 173783 | 0 responsáveis | 86/1602 (5.4%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 297126 | 4 responsáveis | 87/1602 (5.4%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 179112 | 0 responsáveis | 88/1602 (5.5%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 179107 | 0 responsáveis | 89/1602 (5.6%) | Falhas: 0
09:12:08 | INFO     | [09:12:08] ✅ DONE | 301195 | 0 responsáveis | 90/1602 (5.6%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 337387 | 3 responsáveis | 91/1602 (5.7%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 341560 | 3 responsáveis | 92/1602 (5.7%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 394751 | 2 responsáveis | 93/1602 (5.8%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 402414 | 0 responsáveis | 94/1602 (5.9%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 337421 | 0 responsáveis | 95/1602 (5.9%) | Falhas: 0
