14:27:37 | INFO     | ============================================================
14:27:37 | INFO     | 🏢 EXTRAINDO UNIDADES PARTICIPANTES DAS ATAS...
14:27:37 | INFO     | UASG        : RT (158132)
14:27:37 | INFO     | A extrair   : 1308
14:27:37 | INFO     | 🚀 INICIANDO EXTRAÇÃO DE UNIDADES | WORKERS: 3 | TOTAL: 1308
14:27:44 | INFO     | [14:27:44] ✅ DONE | 00001/2023 | item 00001 | 1/1308 (0.1%) | Falhas: 0
14:27:44 | INFO     | [14:27:44] ✅ DONE | 00001/2023 | item 00003 | 2/1308 (0.2%) | Falhas: 0
14:27:44 | INFO     | [14:27:44] ✅ DONE | 00001/2023 | item 00002 | 3/1308 (0.2%) | Falhas: 0
14:27:45 | INFO     | [14:27:45] ✅ DONE | 00003/2023 | item 00005 | 4/1308 (0.3%) | Falhas: 0
14:27:45 | INFO     | [14:27:45] ✅ DONE | 00001/2023 | item 00005 | 5/1308 (0.4%) | Falhas: 0
14:27:45 | INFO     | [14:27:45] ✅ DONE | 00001/2023 | item 00004 | 6/1308 (0.5%) | Falhas: 0
14:27:46 | INFO     | [14:27:46] ✅ DONE | 00003/2023 | item 00007 | 7/1308 (0.5%) | Falhas: 0
14:27:46 | INFO     | [14:27:46] ✅ DONE | 00003/2023 | item 00006 | 8/1308 (0.6%) | Falhas: 0
14:27:46 | INFO     | [14:27:46] ✅ DONE | 00003/2023 | item 00008 | 9/1308 (0.7%) | Falhas: 0
14:27:47 | INFO     | [14:27:47] ✅ DONE | 00003/2023 | item 00009 | 10/1308 (0.8%) | Falhas: 0
14:27:47 | INFO     | [14:27:47] ✅ DONE | 00002/2023 | item 00002 | 11/1308 (0.8%) | Falhas: 0
14:27:47 | INFO     | [14:27:47] ✅ DONE | 00002/2023 | item 00001 | 12/1308 (0.9%) | Falhas: 0
14:27:48 | INFO     | [14:27:48] ✅ DONE | 00002/2023 | item 00003 | 13/1308 (1.0%) | Falhas: 0
14:27:48 | INFO     | [14:27:48] ✅ DONE | 00005/2023 | item 00035 | 14/1308 (1.1%) | Falhas: 0
14:27:49 | INFO     | [14:27:49] ✅ DONE | 00002/2023 | item 00022 | 15/1308 (1.1%) | Falhas: 0
14:27:49 | INFO     | [14:27:49] ✅ DONE | 00006/2023 | item 00024 | 16/1308 (1.2%) | Falhas: 0
