C:\Users\2213226\Documents\comprasv3> python.exe .\main.py
11:45:42 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
11:45:42 | INFO     | ============================================================
11:45:42 | INFO     | ▶ Módulo LEGADO — 363 tarefas | 3 threads
[11:45:42] ✅ DONE | RT | DISPENSA        | 2016
[11:45:48] ❌ FAIL | RT | OUTRASMODALIDADES | 2016
[11:45:48] ❌ FAIL | RT | PREGAO          | 2016
[11:45:48] ✅ DONE | RT | DISPENSA        | 2017
[11:45:48] ❌ FAIL | RT | OUTRASMODALIDADES | 2017
[11:45:55] ❌ FAIL | RT | PREGAO          | 2017
[11:45:55] ✅ DONE | RT | DISPENSA        | 2018
[11:45:55] ❌ FAIL | RT | PREGAO          | 2018
[11:45:55] ❌ FAIL | RT | OUTRASMODALIDADES | 2018
[11:45:56] ✅ DONE | RT | DISPENSA        | 2019
[11:46:01] ❌ FAIL | RT | OUTRASMODALIDADES | 2019
[11:46:02] ❌ FAIL | RT | PREGAO          | 2019
[11:46:02] ✅ DONE | RT | DISPENSA        | 2020
[11:46:02] ❌ FAIL | RT | OUTRASMODALIDADES | 2020
[11:46:08] ❌ FAIL | RT | PREGAO          | 2020
[11:46:08] ✅ DONE | RT | DISPENSA        | 2021
[11:46:09] ❌ FAIL | RT | OUTRASMODALIDADES | 2021
[11:46:09] ❌ FAIL | RT | PREGAO          | 2021
[11:46:09] ✅ DONE | RT | DISPENSA        | 2022
[11:46:15] ❌ FAIL | RT | PREGAO          | 2022
[11:46:15] ❌ FAIL | RT | OUTRASMODALIDADES | 2023
[11:46:15] ❌ FAIL | RT | OUTRASMODALIDADES | 2022
[11:46:16] ✅ DONE | RT | DISPENSA        | 2023
[11:46:21] ❌ FAIL | RT | PREGAO          | 2023
[11:46:22] ✅ DONE | RT | DISPENSA        | 2024
[11:46:22] ❌ FAIL | RT | OUTRASMODALIDADES | 2024
[11:46:23] ❌ FAIL | RT | PREGAO          | 2024
[11:46:23] ✅ DONE | RT | DISPENSA        | 2025
[11:46:28] ❌ FAIL | RT | PREGAO          | 2025
[11:46:29] ❌ FAIL | RT | OUTRASMODALIDADES | 2025
[11:46:29] ✅ DONE | RT | DISPENSA        | 2026
[11:46:29] ❌ FAIL | RT | OUTRASMODALIDADES | 2026
[11:46:35] ❌ FAIL | RT | PREGAO          | 2026
[11:46:35] ✅ DONE | AQ | DISPENSA        | 2016
[11:46:35] ❌ FAIL | AQ | OUTRASMODALIDADES | 2016
[11:46:36] ❌ FAIL | AQ | PREGAO          | 2016
[11:46:36] ✅ DONE | AQ | DISPENSA        | 2017
[11:46:41] ❌ FAIL | AQ | OUTRASMODALIDADES | 2017
[11:46:42] ❌ FAIL | AQ | PREGAO          | 2017
[11:46:42] ✅ DONE | AQ | DISPENSA        | 2018
[11:46:42] ❌ FAIL | AQ | OUTRASMODALIDADES | 2018
[11:46:49] ❌ FAIL | AQ | PREGAO          | 2018
[11:46:49] ❌ FAIL | AQ | OUTRASMODALIDADES | 2019
[11:46:49] ❌ FAIL | AQ | PREGAO          | 2019
[11:46:49] ✅ DONE | AQ | DISPENSA        | 2019
[11:46:49] ✅ DONE | AQ | DISPENSA        | 2020
[11:46:55] ❌ FAIL | AQ | OUTRASMODALIDADES | 2020
[11:46:55] ❌ FAIL | AQ | PREGAO          | 2020
[11:46:56] ❌ FAIL | AQ | OUTRASMODALIDADES | 2021
[11:46:57] ✅ DONE | AQ | DISPENSA        | 2021
[11:47:03] ❌ FAIL | AQ | OUTRASMODALIDADES | 2022
[11:47:03] ❌ FAIL | AQ | PREGAO          | 2021
[11:47:03] ❌ FAIL | AQ | PREGAO          | 2022
[11:47:03] ✅ DONE | AQ | DISPENSA        | 2022
[11:47:03] ✅ DONE | AQ | DISPENSA        | 2023
[11:47:09] ❌ FAIL | AQ | OUTRASMODALIDADES | 2023
[11:47:10] ❌ FAIL | AQ | PREGAO          | 2023
[11:47:10] ✅ DONE | AQ | DISPENSA        | 2024
