C:\Users\2213226\Documents\comprasv3> python.exe .\main.py
13:29:14 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
13:29:14 | INFO     | ============================================================
13:29:14 | INFO     | ▶ Módulo LEGADO — 363 tarefas | 3 threads
13:29:21 | INFO     | ❌ FAIL | RT | OUTRASMODALIDADES | 2026
13:29:21 | INFO     | ❌ FAIL | RT | PREGAO            | 2025
13:29:21 | INFO     | ❌ FAIL | RT | PREGAO            | 2024
13:29:27 | INFO     | ❌ FAIL | AQ | PREGAO            | 2018
13:29:27 | INFO     | ❌ FAIL | RT | PREGAO            | 2026
13:29:27 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2018
13:29:34 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2021
13:29:34 | INFO     | ❌ FAIL | AQ | PREGAO            | 2021
13:29:34 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2022
13:29:40 | INFO     | ❌ FAIL | AQ | PREGAO            | 2022
13:29:40 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2023
13:29:40 | INFO     | ❌ FAIL | AQ | PREGAO            | 2023
13:29:46 | INFO     | ❌ FAIL | AQ | PREGAO            | 2024
13:29:46 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2024
13:29:47 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2025
13:29:53 | INFO     | ❌ FAIL | AQ | PREGAO            | 2025
13:29:53 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2026
13:29:53 | INFO     | ❌ FAIL | AQ | PREGAO            | 2026
13:29:59 | INFO     | ❌ FAIL | CG | OUTRASMODALIDADES | 2021
13:29:59 | INFO     | ❌ FAIL | CG | PREGAO            | 2021
13:29:59 | INFO     | ❌ FAIL | CG | OUTRASMODALIDADES | 2022
13:30:06 | INFO     | ❌ FAIL | CG | OUTRASMODALIDADES | 2023
13:30:06 | INFO     | ❌ FAIL | CG | PREGAO            | 2022
13:30:06 | INFO     | ❌ FAIL | CG | PREGAO            | 2023
13:30:12 | INFO     | ❌ FAIL | CG | PREGAO            | 2024
13:30:12 | INFO     | ❌ FAIL | CG | OUTRASMODALIDADES | 2024
13:30:12 | INFO     | ❌ FAIL | CG | OUTRASMODALIDADES | 2025
13:30:18 | INFO     | ❌ FAIL | CG | PREGAO            | 2025
13:30:18 | INFO     | ❌ FAIL | CG | OUTRASMODALIDADES | 2026
13:30:19 | INFO     | ❌ FAIL | CG | PREGAO            | 2026
13:30:25 | INFO     | ❌ FAIL | CB | OUTRASMODALIDADES | 2021
13:30:25 | INFO     | ❌ FAIL | CB | OUTRASMODALIDADES | 2022
13:30:25 | INFO     | ❌ FAIL | CB | PREGAO            | 2021
13:30:31 | INFO     | ❌ FAIL | CB | PREGAO            | 2022
13:30:31 | INFO     | ❌ FAIL | CB | OUTRASMODALIDADES | 2023
13:30:32 | INFO     | ❌ FAIL | CB | PREGAO            | 2023
13:30:38 | INFO     | ❌ FAIL | CB | OUTRASMODALIDADES | 2024
13:30:38 | INFO     | ❌ FAIL | CB | PREGAO            | 2024
13:30:38 | INFO     | ❌ FAIL | CB | OUTRASMODALIDADES | 2025
13:30:44 | INFO     | ❌ FAIL | CB | PREGAO            | 2025
13:30:44 | INFO     | ❌ FAIL | CB | OUTRASMODALIDADES | 2026
13:30:45 | INFO     | ❌ FAIL | CB | PREGAO            | 2026
13:30:51 | INFO     | ❌ FAIL | CX | OUTRASMODALIDADES | 2021
13:30:51 | INFO     | ❌ FAIL | CX | PREGAO            | 2021
