C:\Users\2213226\Documents\comprasgovIFMS> python.exe .\main.py
11:02:23 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
11:02:23 | INFO     | ============================================================
11:02:23 | INFO     | ▶ Módulo LEGADO — 363 tarefas | 3 threads
11:02:44 | INFO     | ❌ FAIL | RT | OUTRASMODALIDADES | 2026 | 29/363 (8.0%) | Falhas: 1
11:02:53 | INFO     | ❌ FAIL | RT | PREGAO            | 2024 | 30/363 (8.3%) | Falhas: 2
11:03:00 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2018 | 38/363 (10.5%) | Falhas: 3
11:03:01 | INFO     | ❌ FAIL | RT | PREGAO            | 2025 | 39/363 (10.7%) | Falhas: 4
11:03:06 | INFO     | ❌ FAIL | RT | PREGAO            | 2026 | 47/363 (12.9%) | Falhas: 5
11:03:07 | INFO     | ❌ FAIL | AQ | PREGAO            | 2018 | 48/363 (13.2%) | Falhas: 6
11:03:08 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2021 | 50/363 (13.8%) | Falhas: 7
11:03:18 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2022 | 51/363 (14.0%) | Falhas: 8
11:03:25 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2023 | 53/363 (14.6%) | Falhas: 9
11:03:25 | INFO     | ❌ FAIL | AQ | PREGAO            | 2021 | 54/363 (14.9%) | Falhas: 10
11:03:31 | INFO     | ❌ FAIL | AQ | PREGAO            | 2023 | 56/363 (15.4%) | Falhas: 11
11:03:35 | INFO     | ❌ FAIL | AQ | PREGAO            | 2022 | 57/363 (15.7%) | Falhas: 12
11:03:45 | INFO     | ❌ FAIL | AQ | PREGAO            | 2024 | 59/363 (16.3%) | Falhas: 13
11:03:47 | INFO     | ❌ FAIL | AQ | OUTRASMODALIDADES | 2025 | 60/363 (16.5%) | Falhas: 14
11:03:52 | INFO     | ❌ FAIL | AQ | PREGAO            | 2025 | 62/363 (17.1%) | Falhas: 15
